Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Fundraising Specialist,tabeeb El-kheir,,Nasr City,Egypt,Part Time,Experienced,2,5,,Wuzzuf,Business Development,Fundraising,Marketing/PR/Advertising,Fundraising,Marketing,NGO,Sales,,,,,,
Graphic Designer,Gleeds Construction Consultancy,,Maadi,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Business Development,Business Development,Marketing/PR/Advertising,Business Development,Communication skills,Graphic Design,Adobe Indesign,,,,,,
HR Training & Development Specialist,Confidential,,New Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Business Development,Compensation and Benefits,Human Resources,Compensation and Benefits,Compensation,HR,Human Resources (HR),,,,,,
Innovation Manager - NilePreneurs,Nile University,,Sheikh Zayed,Egypt,Full Time,Manager,10,,,Wuzzuf,Business Development,Business Development,Operations/Management,Business Development,Innovation,Management,Agile,,,,,,
MWP Sales Specialist,Athear,,New Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Business Development,English,Sales/Retail,English,Sales,sales skills,Sales Target,,,,,,
Outdoor Sales Specialist,Senoussi Freezone Company,,Suez,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Business Development,Outdoor Sales,Sales/Retail,Outdoor Sales,Experience,Sales Target,Sales,,,,,,
Product Specialist (Sales Representative ),Hayat Dental,,Minya,Egypt,Full Time,Entry Level,2,4,,Wuzzuf,Business Development,Communication skills,Communication skills,sales skills,sales skills,,,,,,,,
Sales Account Manager,Tawzef,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Business Development,Account Management,Customer Service/Support,Sales/Retail,Engineering,sales skills,Communication skills,,,,,,
Sales Account Manager,International Business Systems I.B.S.,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Business Development,Solar Energy,Customer Service/Support,Sales/Retail,Sales,Account Management,Communication skills,,,,,,
Sales Administrator,IEGco,,15th May City,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Business Development,Indoor Sales,Sales/Retail,Indoor Sales,Outdoor Sales,Sales Planning,Sales,,,,,,
Sales Engineer - Electrical / Lighting,Andalus Electrical solutions,,New Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Business Development,Electrical,Sales/Retail,Engineering - Mechanical/Electrical,Lighting,Sales,Electrical Engineering,,,,,,
Sales Executive,Fawry Banking & Payment Technology Services,,Smart Village,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Business Development,Sales,Sales/Retail,Sales,Sales Target,Communication,Telesales,,,,,,
Sales Executive (Textile),Rayman Consulting & Recruiting,,Nozha,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Business Development,CRM,Customer Service/Support,Sales/Retail,Sales,sales skills,Sales Target,,,,,,
Sales Marketing Executive,okyanos middle east,,Glim,Egypt,Full Time,Experienced,2,7,,Wuzzuf,Business Development,sales skills,Creative/Design/Art,sales skills,Sales Target,Marketing,Negotiation,,,,,,
Sales Representative,Spider Technology,,Dokki,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Business Development,Sales,IT/Software Development,Sales/Retail,Marketing,Outdoor Sales,Sales Planning,,,,,,
Sales Representative (Cairo),Digitec,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Business Development,Sales,Sales/Retail,Sales,Sales Skills,Sales Target,Business Development,,,,,,
ERP Technical Support (Help Desk ),Itroots,,Dakahlia,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Accounting,,,,,,,,,,,,
Senior Sales Executive,DM Arts,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Business Development,Business Development,Marketing/PR/Advertising,Sales/Retail,Marketing,Advertising,Lead Generation,,,,,,
Senior Sales Executive,Coach Academy,,Mokattam,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Business Development,Computer Science,Sales/Retail,Engineering - Telecom/Technology,Sales,Customer Support,Sales Field,,,,,,
Smart Devices Business Development Specialist,HITS Technologies,,Nasr City,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Business Development,Business Development,Customer Service/Support,Sales/Retail,Sales,Customer Service,Computer Science,,,,,,
Solution Coordinator,Textyanzo,,Giza,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Business Development,Customer Support,Customer Service/Support,Customer Support,Business Development,Client Support,Account Management,,,,,,
Design Engineer,Teba United,,10th of Ramadan City,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Creative,Design,Engineering - Mechanical/Electrical,Design,Electrical,Electrical Engineering,Low Voltage,,,,,,
Design Engineer,GAWAD MIXER,,10th of Ramadan City,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Creative,Solid work,Engineering - Mechanical/Electrical,Solid work,CAD,Design,Engineering,,,,,,
"Designer ""Front End"" Team Lead - Mansoura","qTech. ""AlQemam""",,Mansoura,Egypt,Full Time,Manager,5,,,Wuzzuf,Creative,Information Technology (IT),IT/Software Development,Engineering - Telecom/Technology,UI,CSS,HTML,,,,,,
Electrical Design Engineer,CPAS,,Heliopolis,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Design,Engineering,AutoCAD,,,,,,
Electrical Draftsman,ProService,,Nasr City,Egypt,Full Time,Experienced,5,,,Wuzzuf,Creative,Drawing,Installation/Maintenance/Repair,Drawing,CAD,AutoCAD,AutoCAD 2D,,,,,,
Electrical Site Engineer - Core & Shell,Confidential,,Ain Sokhna,Egypt,Full Time,Experienced,3,9,,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Shop Drawing,Infrastructure,,,,,,
Electrical Site Engineer - Infrastructure,Confidential,,Ain Sokhna,Egypt,Full Time,Experienced,3,9,,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Shop Drawing,Infrastructure,,,,,,
Flexo Designer & Prepress Finalizer (Graphic Designer),Rotografia,,6th of October,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Creative,Adobe illustrator,Media/Journalism/Publishing,Adobe illustrator,adobe,Adobe Photoshop,flexo,,,,,,
Furniture & technical designer & 3D visualizer,Dekka,,Maadi,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Creative,3D,3D,3D Modeling,3D Modeling,Applied Arts,Architecture,,,,,,
Garment Technician,Alex Apparels for Garment Manufacturing,,Ameria,Egypt,Full Time,Experienced,4,7,,Wuzzuf,Creative,Garments,Manufacturing/Production,Fashion,Textile,Textile Design,Fashion,,,,,,
Graphic Design Instructor,iSchool,,New Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Creative,Design,Training/Instructor,Design,Engineering,Information Technology (IT),Management,,,,,,
Graphic Designer,CairoCart.com,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Graphic,Graphic,Graphic Design,Motion,,,,,,
Graphic Designer,Samta digital marketing&creative designs,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Creative,Adobe Photoshop,Adobe Photoshop,Adobe illustrator,Adobe illustrator,Adobe Indesign,Digital Marketing,,,,,,
Graphic Designer,Al Nasser Group,,Cairo,Egypt,Full Time,Experienced,3,8,,Wuzzuf,Creative,Graphic Design,Graphic Design,Motion,Motion,Adobe illustrator,Arts,,,,,,
Graphic Designer,Cultark,,New Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Creative,Graphic Design,Marketing/PR/Advertising,Graphic Design,Adobe Photoshop,Adobe Illustrator,Design,,,,,,
Graphic Designer - Ceramic Field,Torrecid Egypt SAE,,Sheikh Zayed,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Creative,Arts,Arts,Graphic Design,Graphic Design,Ceramic,Applied Arts,,,,,,
Graphic Designer ( Finalizer),Essel Propapack Misr,,Obour City,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Creative,finalizer,finalizer,Graphic designer,Graphic designer,Adobe illustrator,Adobe Photoshop,,,,,,
Graphic Designer & Video Editor,Multi Commerce,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Creative,graphic designer,graphic designer,Video Editing,Video Editing,Content Creation,Photo Editing,,,,,,
