Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Learning & Development Officer,Breadfast,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Learning and Development,Human Resources,,,,,,,,,,
Legal & Admin Specialist,Partner & More,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Legal,,,,,,,,,,
Legal Affairs Manager,Confidential,,Giza,Egypt,Full Time,Manager,15,20,,Wuzzuf,Administration ,Administration,Legal,,,,,,,,,,
Legal Manager,Confidential,,Giza,Egypt,Full Time,Manager,10,11,,Wuzzuf,Administration ,Law,Legal,,,,,,,,,,
Housekeeping Manager,Rouvan Hospital,,Assiut,Egypt,Full Time,Manager,5,7,,Wuzzuf,Administration ,Housekeeping,Hospitality,Hotels,Food Services,Medical/Healthcare,Hospitality,Medical,,,,,
Mall Manager,Nile Sun Developments,,Cairo,Egypt,Full Time,Manager,5,,,Wuzzuf,Administration ,Property Management,Operations/Management,,,,,,,,,,
Manager Assistant.,Technoplastic,,Cairo,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,excel,excel,,,,,,,,,,
Managing Director Assistant (Office Manager),SE Wiring Systems EGYPT,,Giza,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Junior IT Recruiter,Raya,,Giza,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Human Resources,IT recruiter,IT,Software Development,IT recruiter,Recruiter,HR,,HR,,,,
Oracle Consulting Intern (HCM),Raya,,Giza,Egypt,Internship,Entry Level,,,,Wuzzuf,Human Resources,HCM,IT,Software Development,Strategy/Consulting,Information Technology (IT),Oracle,,Oracle,,,,
Medical Billing Specialist,Confidential,,Giza,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Medical Insurance,Customer Service/Support,,,,,,,,,,
Medical Claims Admin,Mersal,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Medical,Medical/Healthcare,,,,,,,,,,
Medical Claims Senior Supervisor,GIG Egypt,,Cairo,Egypt,Full Time,Experienced,3,4,,Wuzzuf,Administration ,medical claims,Medical/Healthcare,,,,,,,,,,
Medical Insurance Specialist,Royal Insurance Company,,Giza,Egypt,Full Time,Experienced,2,6,,Wuzzuf,Administration ,Insurance,Insurance,,,,,,,,,,
Medical Personal Assistant,London International Patient Services,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Adminsrition,Medical/Healthcare,,,,,,,,,,
Medical Services & Procurement Supervisor,Transmar International,,Cairo,Egypt,Full Time,Manager,3,7,,Wuzzuf,Administration ,Medical Insurance,Medical Insurance,,,,,,,,,,
IT System Administrator,Talaat Moustafa Group,,Giza,Egypt,Full Time,Experienced,6,8,,Wuzzuf,Administration ,Information Technology (IT),IT,Software Development,Engineering - Telecom/Technology,Computer Science,IT,,,,,,
Office Admin,prima pharm,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Administration Specialist,FIRE DEGREE,,Red Sea,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Microsoft Office,Microsoft Office,,,,,,,,,,
Office Administrator,Confidential,,Giza,Egypt,Full Time,Experienced,4,7,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Office Administrator,NCM,,Alexandria,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Office Administrator,Sigma Scientific Services Co.,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Administrator,Carnival Trading,,Alexandria,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Administrator,atm Pharmaceutical Industries,,Gharbia,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Office Administrator / HR Coordinator,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Human Resources,,,,,,,,,,
Office Administrator & HR Coordinator,3S Software,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Human Resources,,,,,,,,,,
Office Assistant,Somabay,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,administrative,Customer Service/Support,,,,,,,,,,
Office Assistant Manager,Caldo e. Freddo,,Giza,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Coordinator,Genius System,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Coordinator,Soulintec,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Communication,Communication,,,,,,,,,,
Office Manager,Professional Service Proserv,,Cairo,Egypt,Full Time,Experienced,5,7,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Office Manager,MEI Uniform,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Office management,Operations/Management,,,,,,,,,,
Office Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Customer Service,Customer Service,,,,,,,,,,
Office Manager,Al-Alyaa,,Giza,Egypt,Full Time,Experienced,5,10,· females_only,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Madar plus,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Confidential,,Giza,Egypt,Full Time,Experienced,15,20,,Wuzzuf,Administration ,Communication skills,Communication skills,,,,,,,,,,
Office Manager,Losanda Kids,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Microsoft Office,Microsoft Office,,,,,,,,,,
Office Manager,Titan Stroytechnologies - LLS,,Matruh,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Office Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,Administration ,Microsoft,Microsoft,,,,,,,,,,
Office Manager,El Fostat Company For Import and Export,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Microsoft Office,Operations/Management,,,,,,,,,,
Office Manager,MidEast Communication Systems,,Cairo,Egypt,Full Time,Experienced,10,,,Wuzzuf,Administration ,B2B,Operations/Management,,,,,,,,,,
Office Manager,Caldo e. Freddo,,Giza,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Administration ,Office management,Customer Service/Support,,,,,,,,,,
Office Manager,Snapology of Egypt,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Office Management,Office Management,,,,,,,,,,
Office Manager,Expand Cart,,Giza,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,The Edge for Real Estate,,Cairo,Egypt,Full Time,Experienced,2,6,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Royal Investment,,Giza,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Management,Management,,,,,,,,,,
Office Manager,Confidential,,Cairo,Egypt,Full Time,Experienced,1,,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Office Manager,CompuGeorge,,Giza,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Computer Skills,Computer Skills,,,,,,,,,,
Office Manager,IGI-Group,,Giza,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,DigiFi,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,real estate company,,Cairo,Egypt,Full Time,Experienced,2,6,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Palmier Real Estate.com,,Giza,Egypt,Full Time,Manager,5,7,,Wuzzuf,Administration ,Office management,Operations/Management,,,,,,,,,,
Office Manager,MORE EVENTS & ACTIVATIONS,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager (Pyramids Pharmacy) Night Shift,Defy Egypt,,Giza,Egypt,Full Time,Manager,2,,,Wuzzuf,Administration ,English,Operations/Management,,,,,,,,,,
Office Manager / Personal Assistant,Safa Soft,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Office Manager For CCO,Jumeirah Egypt Trading & Contracting Co,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Communication,Communication,,,,,,,,,,
Office Manager To The GM,Al Kamal Import & Marketing Company,,Cairo,Egypt,Full Time,Experienced,7,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Manager To The Vice President Africa & New Ventures,TAQA Arabia,,Cairo,Egypt,Full Time,Experienced,4,10,,Wuzzuf,Administration ,Office Manager,Office Manager,,,,,,,,,,
Office Manager/Executive Secretary,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Office Of Student Services Specialist,Sinai University,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Customer Care,Customer Service/Support,,,,,,,,,,
OPD Secretary,Queens Health Care,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Medical Secretary,Customer Service/Support,,,,,,,,,,
Operation Coordinator,BAMCLOTHING,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Customer Service,Operations/Management,,,,,,,,,,
Operation Coordinator,Hayat Dental,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Coordinator,Operations/Management,,,,,,,,,,
Operation Coordinator,English Zone,,Giza,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Operation Coordinator Internship,HLPR,,Cairo,Egypt,Internship,Entry Level,,,,Wuzzuf,Administration ,Administration,Human Resources,,,,,,,,,,
Operation Manager ( Japanese Speaker ),Keys Group Services,,Cairo,Egypt,Full Time,Manager,3,5,,Wuzzuf,Administration ,Arabic,Operations/Management,,,,,,,,,,
Operation Specialist,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Operation Specialist,Leo Rugs,,Cairo,Egypt,Full Time,Experienced,3,7,,Wuzzuf,Administration ,operation,Operations/Management,,,,,,,,,,
Operations Assistant,Abt Associates,,Giza,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Procurement,Operations/Management,,,,,,,,,,
Operations Associate,Mazzika Group,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Operations Coordinator,iSchool,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Operations Coordinator,Inchcape Shipping Services,,Alexandria,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Operations Excellence,Khalil Pharmacies,,Alexandria,Egypt,Full Time,Manager,10,15,,Wuzzuf,Administration ,Operations,Operations/Management,,,,,,,,,,
Operations Executive for Food Complex,Scope International,,Giza,Egypt,Full Time,Experienced,5,10,· males_only,Wuzzuf,Administration ,Operations,Operations/Management,,,,,,,,,,
Operations Manager,Smart GYM,,Cairo,Egypt,Full Time,Manager,2,5,,Wuzzuf,Administration ,Operations Management,Operations/Management,,,,,,,,,,
Operations Officer,Bocsha egypt,,Cairo,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Operations,Operations/Management,,,,,,,,,,
Lecturer,El Sewedy Education The Knowledge Hub Universities,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Academic,Education,Teaching,Training/Instructor,Administration,business,,,,,,
Librarian for KG,Groupe Oasis Scolaire,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Education,Education,Teaching,Education,Teaching,Administration,,,,,,
Librarian for Primary,Groupe Oasis Scolaire,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Education,Education,Teaching,Education,Teaching,Administration,,,,,,
SAP Successfactors LMS Consultant,Amiral Holdings Limited,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Human Resources,Information Technology (IT),,IT,Software Development,,,Information Technology (IT),SAP,Human Resources (HR),,Human Resources (HR),
Logistic Coordinator,Andalus Electrical solutions,,Cairo,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Logistics,Consumer goods,Shipping,,,,,,
Logistic Officer,Titan Cement Egypt,,Alexandria,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Logistics,Administration,Supply Chain,,,,,,
Personal Assistant,Bescletta,,Cairo,Egypt,Full Time,Experienced,4,7,,Wuzzuf,Administration ,business,Operations/Management,,,,,,,,,,
Personal Assistant,Deutschland Technology Limited,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Personal Assistant,Confidential,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Personal Assistant,Dr.Greiche,,Cairo,Egypt,Full Time,Experienced,3,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Personal Assistant,Confidential,,Cairo,Egypt,Part Time,Experienced,4,,,Wuzzuf,Administration ,Admin,,,,,,,,,,,
Personal Assistant,Femex Egypt,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,English,English,,,,,,,,,,
Personal Assistant,Bird Solutions,,Cairo,Egypt,Full Time,Entry Level,0,5,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Personal Assistant,Live Lit Agency,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Public Relations (PR),Public Relations (PR),,,,,,,,,,
Personal Assistant ,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Personal Assistant ,DMS,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Assistant,Assistant,,,,,,,,,,
Personal Assistant (In Obour),Confidential,,Cairo,Egypt,Full Time,Entry Level,0,4,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Personal Assistant & Office Manager,Star Distribution,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Assistant,Assistant,,,,,,,,,,
Personal Assistant & Secretary,Confidential,,Cairo,Egypt,Full Time,Experienced,4,7,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Personal Assistant For CEO,Al Rabat,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Administration,Operations/Management,,,,,,,,,,
Personal Assistant to Plant Manager,Samaya Electronics Egypt LTD,,Cairo,Egypt,Full Time,Experienced,3,6,,Wuzzuf,Administration ,Secretary,Secretary,,,,,,,,,,
Personal Assistant to The CEO,OPEX Egypt,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,CEO,CEO,,,,,,,,,,
Personal Assistant to VP,Fashion Retail Group,,Cairo,Egypt,Full Time,Experienced,5,10,,Wuzzuf,Administration ,Communication,Communication,,,,,,,,,,
Personnel Coordinator,National Company For Maize Products,,Sharqia,Egypt,Full Time,Entry Level,1,2,· males_only,Wuzzuf,Administration ,Human Resources (HR),Human Resources,,,,,,,,,,
Personnel Manager,Legrand,,Monufya,Egypt,Full Time,Senior Management,12,15,,Wuzzuf,Administration ,Human Resources (HR),Human Resources,,,,,,,,,,
Personnel Specialist,Confidential,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Human Resources (HR),Human Resources,,,,,,,,,,
Personnel Specialist,OPEX Egypt,,Giza,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,HR,Human Resources,,,,,,,,,,
Logistics Administrator,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Business Administration,Logistics,Supply Chain,Business Administration,Administration,Supply Chain,,,,,,
Pharmacist Assistant,Abdeen pharmacies,,Giza,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Pharmacy,Customer Service/Support,,,,,,,,,,
Pharmacy Assistant- Sohag,Abdeen pharmacies,,Sohag,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Medical,Customer Service/Support,,,,,,,,,,
Logistics Coordinator,El Masria TTS,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Logistics,Microsoft Office,Customer Service,,,,,,
Pharmacy Technician,Abdeen pharmacies,,Giza,Egypt,Full Time,Entry Level,1,5,,Wuzzuf,Administration ,Customer Service,Customer Service/Support,,,,,,,,,,
Logistics Coordinator,Optimarc pharma,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Pharmaceutical,Pharmacy,English,,,,,,
Logistics Coordinator,TECHVALLEY,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Administration,Logistics,Supply Chain,Administration,Logistics,Supply Chain,,,,,,
Logistics Coordinator,Kandil Egypt,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Logistics,Supply Chain,Operations/Management,Logistics,Engineering,,,,,,
Logistics Officer,Nature's Rule Egypt LLC,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Logistics,Logistics,Supply Chain,Purchasing/Procurement,Communication,Purchasing,,,,,,
Procurement Coordinator,ACROW for Integrated Construction Services,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Procurement,Purchasing/Procurement,,,,,,,,,,
Marketing Coordinator,Allamna Integrated Solutions,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Social Media,Marketing,PR,Advertising,Media/Journalism/Publishing,Marketing,Marketing Coordinator,,,,,
Procurement Specialist,Alumil,,Giza,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Procurement,Purchasing/Procurement,,,,,,,,,,
Procurement Supervisor,Cleopatra Hospitals Group,,Giza,Egypt,Full Time,Experienced,5,8,,Wuzzuf,Administration ,Purchasing,Medical/Healthcare,,,,,,,,,,
Bootcamp Field Officer,Terre des hommes,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Communication skills,Communication skills,,,,,,,,,,
Program Assistant ''English Language Program'',Amideast,,Giza,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,TOEIC,Project/Program Management,,,,,,,,,,
Project Coordinator,MidLocalize,,Giza,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Project Management,Customer Service/Support,,,,,,,,,,
Project Coordinator,Dottopia,,Giza,Egypt,Full Time,Experienced,3,4,,Wuzzuf,Administration ,Project Management,Project/Program Management,,,,,,,,,,
Project Coordinator,BE ONE Solutions,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Engineering,Project/Program Management,,,,,,,,,,
Project Coordinator,Rizkallah Art Foundation,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Project/Program Management,,,,,,,,,,
Project Coordinator,ContrackFM,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Administration ,Office Management,Office Management,,,,,,,,,,
Project Coordinator,BENYA Systems,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Coordinator,Project/Program Management,,,,,,,,,,
Project Coordinator,C-Reality,,Giza,Egypt,Full Time,Experienced,1,2,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Project Coordinator (Non-Engineering Position),Orchidia Pharmaceutical Industries,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Project Management,Project/Program Management,,,,,,,,,,
Projects Order Booking Admin,KONE,,Cairo,Egypt,Full Time,Experienced,5,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Purchase Coordinator,ECCA Group,,Giza,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Purchasing,Purchasing/Procurement,,,,,,,,,,
Purchasing Delegate ,EAST,,Cairo,Egypt,Full Time,Experienced,2,4,· males_only,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Quality Assurance Officer,MIU,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Quality Assurance,Quality,,,,,,,,,,
Real Estate Admin Assistant Intern,United Alpha International,,Cairo,Egypt,Internship,Entry Level,0,1,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist,Gazala Steel Fabrication GSF,,Cairo,Egypt,Full Time,Entry Level,0,1,,Wuzzuf,Administration ,Receptionist,Receptionist,,,,,,,,,,
Receptionist,Egypt Yellow Pages,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Macro Group,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,Sinoma-cdi,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Dar Al Arqam,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Office management,Customer Service/Support,,,,,,,,,,
Receptionist,MENA For Contracting & Trading,,Giza,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Secretary,Customer Service/Support,,,,,,,,,,
Receptionist,Döhler Egypt,,Giza,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,STIO Life Science,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,receptionist,Customer Service/Support,,,,,,,,,,
Receptionist,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,3,· females_only,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist,Al Ahly Medical Company,,Cairo,Egypt,Full Time,Entry Level,1,2,· females_only,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Al-Alyaa,,Giza,Egypt,Full Time,Experienced,4,5,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist,Go Khozam Development,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Reception,Customer Service/Support,,,,,,,,,,
Receptionist,Roaia,,Cairo,Egypt,Full Time,Entry Level,1,3,· females_only,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Blanche dental clinic,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Communication,Communication,,,,,,,,,,
Receptionist,ORA Clinics,,Giza,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,Elite Medical Company,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,The benchmark,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,Uptown International School UISEgypt,,Cairo,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Student Affairs,Customer Service/Support,,,,,,,,,,
Receptionist,Heliopower,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Jebaal,,Cairo,Egypt,Full Time,Entry Level,1,4,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Wham Clinics,,Giza,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,MG Developments,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Next Door Consultancy,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Admin,Customer Service/Support,,,,,,,,,,
Receptionist,Confidential,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Secretary,Customer Service/Support,,,,,,,,,,
Receptionist,MTI Automotive,,Giza,Egypt,Full Time,Entry Level,,,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,Smart Solutions,,Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Sidera Immigration Consulting Inc.,,Cairo,Egypt,Full Time,Entry Level,0,3,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,wall street,,Cairo,Egypt,Full Time,Entry Level,0,2,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,Egyptian English Language schools,,Alexandria,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,EGY-PT,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Microsoft Office,Customer Service/Support,,,,,,,,,,
Receptionist,Leeds,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Amsterdam Clinics,,Alexandria,Egypt,Full Time,Experienced,2,5,,Wuzzuf,Administration ,Admin,Admin,,,,,,,,,,
Receptionist,GS1,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Unival,,Cairo,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
Receptionist,Emaar,,Giza,Egypt,Part Time,Entry Level,1,3,,Wuzzuf,Administration ,Receptionist,Customer Service/Support,,,,,,,,,,
Receptionist,Razaz Group,,Cairo,Egypt,Full Time,Entry Level,1,,,Wuzzuf,Administration ,Reception,Reception,,,,,,,,,,
Receptionist,KUWADICO,,Giza,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Office management,Office management,,,,,,,,,,
Receptionist,ATRIC Developments,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,MidEast Communication Systems,,Cairo,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Administration,,,,,,,,,,
Receptionist,Dao Derma Skin Clinic,,Cairo,Egypt,Shift Based,Entry Level,1,3,,Wuzzuf,Administration ,Administration,Customer Service/Support,,,,,,,,,,
