Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Executive Sales Representative,Andsmea,Cairo,Egypt,Full Time,Experienced,2.0,6.0,Wuzzuf,Business Development,Sales,Customer Service/Support,Sales/Retail,Negotiation,sales skills,Driving,None,None,None,None,None,None
Export Sales Regional Manager,International Group For Modern Coating,Bourj Alarab,Egypt,Full Time,Manager,8.0,12.0,Wuzzuf,Business Development,Export,Logistics/Supply Chain,Sales/Retail,Logistics,MBA,Negotiation,None,None,None,None,None,None
French Business Development Executive,Mico World Limited,Maadi,Egypt,Full Time,Entry Level,0.0,0.0,Wuzzuf,Business Development,Agency,Agency,Business Development,Business Development,french,is,None,None,None,None,None,None
Fundraising Specialist,tabeeb El-kheir,Nasr City,Egypt,Part Time,Experienced,2.0,5.0,Wuzzuf,Business Development,Fundraising,Marketing/PR/Advertising,Fundraising,Marketing,NGO,Sales,None,None,None,None,None,None
Graphic Designer,Gleeds Construction Consultancy,Maadi,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Business Development,Business Development,Marketing/PR/Advertising,Business Development,Communication skills,Graphic Design,Adobe Indesign,None,None,None,None,None,None
HR Training & Development Specialist,Confidential,New Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Business Development,Compensation and Benefits,Human Resources,Compensation and Benefits,Compensation,HR,Human Resources (HR),None,None,None,None,None,None
Innovation Manager - NilePreneurs,Nile University,Sheikh Zayed,Egypt,Full Time,Manager,10.0,0.0,Wuzzuf,Business Development,Business Development,Operations/Management,Business Development,Innovation,Management,Agile,None,None,None,None,None,None
MWP Sales Specialist,Athear,New Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Business Development,English,Sales/Retail,English,Sales,sales skills,Sales Target,None,None,None,None,None,None
Outdoor Sales Specialist,Senoussi Freezone Company,Suez,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Business Development,Outdoor Sales,Sales/Retail,Outdoor Sales,Experience,Sales Target,Sales,None,None,None,None,None,None
Product Specialist (Sales Representative ),Hayat Dental,Minya,Egypt,Full Time,Entry Level,2.0,4.0,Wuzzuf,Business Development,Communication skills,Communication skills,sales skills,sales skills,None,None,None,None,None,None,None,None
Sales Account Manager,Tawzef,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Business Development,Account Management,Customer Service/Support,Sales/Retail,Engineering,sales skills,Communication skills,None,None,None,None,None,None
Sales Account Manager,International Business Systems I.B.S.,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Business Development,Solar Energy,Customer Service/Support,Sales/Retail,Sales,Account Management,Communication skills,None,None,None,None,None,None
