Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Senior Accountant,Ravin,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,ASM Group,Cairo,Egypt,Full Time,Experienced,6.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Bocsha,Cairo,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Afaqy,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Smart Medical Services,Giza,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,YI Fashion,Cairo,Egypt,Full Time,Experienced,8.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,SABA,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Interact Technology Solutions,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,LINK Development,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,TAM Environmental Services,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Ayman Afandy LLC,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Hassan Allam Property Management,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant ( منسق حسابات ),Elbadry Auto,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant (English Fluency ),360Imaging,Giza,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant (Medical Sector Background),Statements for Consulting,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant (Receivable,Cairo Three A for Agricultural and Animal Production,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accounts Payable,Confidential,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accounts Payable Accountant,Talabeyah,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accounts Payable Accountant,Somabay,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accounts Receivable & Collection Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accounts Receivable Accountant,Somabay,Red Sea,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior AR Accountant,Property Finder Group,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior AR Accountant ( Real Estate Companies ),Egyptian developers,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior AR Accountant / Treasury,Mozare3,Giza,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Auditor,"Pannell kerr forster (PKF) Rashed , Badr & co.",Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Auditor,AlGammal Contracting,Giza,Egypt,Full Time,Experienced,6.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Pricing Analyst,3Brothers,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,Research,None,None,Strategy/Consulting,Communication,Communication skills,None,None,None,None,None,None
Senior Bank Accountant,Nahdet Misr Publishing Group,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Bank Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Branch Accountant,Talabeyah,Giza,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Cost Controller,Lactalis Halawa,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Costing Accountant,Confidential,Alexandria,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Costing Acountant,Shanawany Group,Sharqia,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Credit Officer,Basata Microfinance Solutions,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Customs Accounting Specialist اخصائي حسابات وجمارك,Circle K,Cairo,Egypt,Full Time,Experienced,4.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Finance Officer,Terre des hommes,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Financial Analyst,Contact,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Purchasing Manager,Elbadry Auto,Cairo,Egypt,Full Time,Manager,5.0,0.0,Wuzzuf,Accounting,Supply Chain,None,None,Purchasing/Procurement,Supply Chain,Purchasing,None,None,None,None,None,None
Senior General Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior General Accountant,Surgitech,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior General Accountant,E3mel Business for Financial & Managerial Consultancy,Cairo,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior General Ledger Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior General Ledger Accountant,Itruck corp,Cairo,Egypt,Full Time,Experienced,4.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior GL Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor,Madinet Nasr for Housing and Development,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor,Confidential,Alexandria,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor,Confidential,Giza,Egypt,Full Time,Experienced,10.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor,Excel Systems,Giza,Egypt,Full Time,Experienced,6.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor,Pan Marine Group,Alexandria,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Internal Auditor ,ATRIC Developments,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Material Accountant,Hammash Misr,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Retail GTM Manager Assistant,Huawei Egypt Device,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,Retail,None,None,MS Office,English,Customer Service,None,None,None,None,None,None
Senior Receivable Accountant,Seldar Egypt,Cairo,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax,Kreston,Cairo,Egypt,Full Time,Experienced,4.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,5.0,10.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,Statements for Consulting,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,OSN,Giza,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,Confidential,Alexandria,Egypt,Full Time,Experienced,4.0,8.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Tax Accountant,Kandeel Group,Cairo,Egypt,Full Time,Experienced,7.0,10.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Taxes Accountant,Sinoma-cdi,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Treasury Accountant,Al Ahly Momkn for e-payment,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Treasury Accountant,Ezz El arab,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Treasury Accountant,Atco Pharma For Pharmaceutical Industries,Monufya,Egypt,Full Time,Experienced,10.0,14.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,ASC for Construction and Engineering,Beheira,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,Confidential,South Sinai,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,HTC group,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,ATRIC Developments,Red Sea,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,Al Safa,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,KEC- IDENTITY FOR ENGENERING,Giza,Egypt,Full Time,Experienced,3.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Site Accountant,Lewaa El Hamd Group,Luxor,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Sr. Accountant Payable,Elsewedy industries,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Sr. AP Accountant,AL MASHARIQ,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Sr. GL Accountant,Elsewedy industries,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Software Developer Engineer,Ewest-egypt,Nasr City,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Engineering,C#.Net,C#.Net,Programming,Programming,Software,SQL,None,None,None,None,None,None
Process Development Engineer,Delta Egypt For Lighting,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Engineering,Microsoft Word,Microsoft Word,None,None,None,None,None,None,None,None,None,None
Statutory & Tax Accountant (Fresh Graduate)- Temp for 6 month,Premier Services and Recruitment,Cairo,Egypt,Freelance / Project,Entry Level,0.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Stock Control Accountant,GPS,Sharqia,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Stock Controller,E-Jawdah,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Stock Controller,Spinneys Egypt,Cairo,Egypt,Full Time,Entry Level,0.0,1.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Stock Controller Accountant,FIXBOND,Alexandria,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Store Keeper,Sectors Construction,Cairo,Egypt,Internship,Entry Level,0.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Store Keeper,Confidential,Sohag,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Supplier Accountant,Pharma Overseas,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Statements for Consulting,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Longman Egypt,Giza,Egypt,Full Time,Experienced,5.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Nile Global Construction co,Giza,Egypt,Full Time,Experienced,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,realme,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,J&T Express Lightning,Giza,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Kreston,Cairo,Egypt,Full Time,Experienced,2.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Interact Technology Solutions,Cairo,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,GoodsMart,Giza,Egypt,Full Time,Experienced,4.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Confidential,Alexandria,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Gap Polymers,Cairo,Egypt,Full Time,Entry Level,1.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Accountant,Aman Holding,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Associate,Maxab,Cairo,Egypt,Full Time,Entry Level,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Tax Manager,Majorel Egypt,Cairo,Egypt,Full Time,Manager,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Accountant,Hassan Allam Property Management,Matruh,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,Hotels,Food Services,None,Communication,English,Finance,None,None,None,None,None,None
Senior Accountant,Pan Marine Group,Alexandria,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,Supply Chain,None,None,Accounting,Logistics,freight,None,None,None,None,None,None
Senior Analyst,Argaam,Giza,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,Research,None,None,Analysis,Mutual Funds,Commerce,None,None,None,None,None,None
Senior Application Specialist,Rashideen Egypt for Trade,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,Maintenance,Repair,None,IT/Software Development,Senior Application Specialist,Accounts Payable,None,None,None,None,None,None
Technical Team Leader – Lighting,Smart Lighting,Cairo,Egypt,Full Time,Manager,4.0,7.0,Wuzzuf,Engineering,DIALux,DIALux,None,None,None,None,None,None,None,None,None,None
Senior Corporate Financial Analyst,Confidential,Cairo,Egypt,Full Time,Experienced,4.0,8.0,Wuzzuf,Accounting,Research,None,None,Financial Analysis,Accounting,business,None,None,None,None,None,None
Teller,Allianz,Cairo,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior EPM Consultant,Azdan Business Analytics,Cairo,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,Software Development,None,None,Finance,Communication,Accounting,None,None,None,None,None,None
Senior Equity research Analyst,IdealRatings,Cairo,Egypt,Full Time,Experienced,2.0,3.0,Wuzzuf,Accounting,Research,None,None,Analysis,CFA,equity,None,None,None,None,None,None
Senior Embedded Software Engineer,Samaya Electronics Egypt LTD,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Engineering,Embedded Software,Engineering,Mechanical,Electrical,None,Embedded Software,Electrical Engineering,Computer Science,None,None,None,None
Web Developer,ASAP Systems,Cairo,Egypt,Full Time,Experienced,2.0,2.0,Wuzzuf,Engineering,Web Development,Web Development,None,None,None,None,None,None,None,None,None,None
Trade Finance Officer,Kandil Steel,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Trade Finance Officer- Banking Background (Based In Alex),Nile Projects & Trading,Alexandria,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Trade Finance Specialist,Mediterraneo Trading,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Senior Financial & Planning Analyst,El Batal Co.,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,Financial Analysis,Analyst/Research,Financial Analysis,Financial Management,Budgeting,Financial Reports,None,None,None,None,None,None
Senior Financial Analyst,TAQA Oil & Marketing,Cairo,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,Accounting,Research,None,None,Financial Analysis,Financial Management,Accounting,None,None,None,None,None,None
Senior Financial Analyst,Wadi Degla Group,Cairo,Egypt,Full Time,Experienced,4.0,5.0,Wuzzuf,Accounting,Research,None,None,Financial Analysis,Financial Management,Accounting,None,None,None,None,None,None
Senior Financial Analyst,El Batal Co.,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,Research,None,None,Financial Analysis,Financial Management,Budgeting,None,None,None,None,None,None
Senior Financial Data Analyst,Z2 Data,Cairo,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,Research,None,None,Finance,Financial Analysis,Accounting,None,None,None,None,None,None
Senior Financial Planning & Analysis,ATRIC Developments,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,Research,None,None,analytical,Finance,Financial Analysis,None,None,None,None,None,None
Senior Foreign Purchasing Specialist,Confidential,Cairo,Egypt,Part Time,Experienced,5.0,0.0,Wuzzuf,Accounting,Supply Chain,None,None,Purchasing/Procurement,Procurement,Purchasing,None,None,None,None,None,None
Treasury & Bank Accountant,TechnoBit Group,Cairo,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Al Ahly Momkn for e-payment,Cairo,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,CosmoCare Group,Cairo,Egypt,Full Time,Experienced,3.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Infinity Clinic Pharma,Assiut,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Confidential,Ismailia,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,dynamics,Cairo,Egypt,Full Time,Experienced,3.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Nile Sugar,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Confidential,Alexandria,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Alex Steel,Alexandria,Egypt,Full Time,Experienced,10.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Simple Touch Software,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Bayt El Khebra,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,packtec,Giza,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Uptown International School UISEgypt,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Next Home,Cairo,Egypt,Full Time,Experienced,4.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,OPPO Egypt,Minya,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,PICO,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,CLS Learning Solutions,Giza,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Capital Link Developments,Cairo,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Infinity Clinic Pharma,Alexandria,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Maxab,Cairo,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Tanta Motors,Gharbia,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Smart Medical Services,Giza,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Confidential,Giza,Egypt,Full Time,Experienced,5.0,9.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Union Group,Cairo,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accountant,Chloride,Giza,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Accounting Section Head,ATRIC Developments,Cairo,Egypt,Full Time,Manager,7.0,9.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Analyst,Neisco for Modern Water Systems Production,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Associate,Giza Cable Industries,Giza,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Chief Accountant,Confidential,Cairo,Egypt,Full Time,Experienced,10.0,12.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Finance Officer,M² Developments,Giza,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Manager,Elalamein Flex,Alexandria,Egypt,Full Time,Manager,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Manager,Atco Pharma For Pharmaceutical Industries,Monufya,Egypt,Full Time,Manager,10.0,0.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Manager,Confidential,Giza,Egypt,Full Time,Manager,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Officer,Adm-Medsofts,Cairo,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Treasury Supervisor,The First Microfinance,Cairo,Egypt,Full Time,Manager,5.0,7.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
Trip Cost Estimate Officer,Avjet Routing ITP,Giza,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Accounting,None,None,None,None,None,None,None,None,None,None,None,None
iOS App Developer - Offshore opportunity,Aphrie,Maadi,Egypt,Part Time,Experienced,3.0,0.0,Wuzzuf,Freelance / Project,IOS App Developer,Engineering - Telecom/Technology,IOS App Developer,iOS,Swift,Autodesk,None,None,None,None,None,None
Senior Internal Auditor,El Batal Co.,Cairo,Egypt,Full Time,Experienced,5.0,7.0,Wuzzuf,Accounting,Research,None,None,Audit,Auditing,English,None,None,None,None,None,None
Senior Reporting & Analysis Accountant,Future Group,Giza,Egypt,Full Time,Experienced,5.0,8.0,Wuzzuf,Accounting,Research,None,None,Accounting,English,Entries,None,None,None,None,None,None
Senior Treasury Analyst,TAQA Oil & Marketing,Cairo,Egypt,Full Time,Experienced,2.0,4.0,Wuzzuf,Accounting,Research,None,None,Accounting,Analysis,Finance,None,None,None,None,None,None
